,MolecularWeight,num_of_atoms,num_of_heavy_atoms,num_of_C_atoms,num_of_O_atoms,num_of_N_atoms,PolarA,PolarB,TopoCharge,VdW,AromaticA,AromaticB,HBondAcceptorCount,HBondDonorCount,XLogP,TPSA,Sulphur atoms
cluster_0,163.55940217391304,28.221467391304348,11.285326086956522,9.099184782608695,2.0217391304347827,0.02309782608695652,28.545164055706522,19.931096813858694,0.4169262471711956,179.55740371960596,0.4578804347826087,0.46059782608695654,3.21753974060462,10.826317885023098,11.777137065294838,208.6388774082337,0.14130434782608695
cluster_1,164.90291230068334,28.27220956719818,11.071753986332574,9.095671981776766,1.5,0.05239179954441914,29.14824816173121,19.827931792710707,0.3799382431640091,179.8953038529499,0.7175398633257403,0.7312072892938497,3.1956965443428245,10.723426978681095,11.637624017580867,206.66697633913444,0.42369020501138954
cluster_2,174.4476004872107,28.349573690621195,12.448233861144946,10.38855054811206,1.9549330085261876,0.05481120584652863,29.724753489646773,18.383227021924483,0.4324023591254567,184.7954001819001,2.8428745432399514,2.8550548112058465,2.9264017346967113,9.537859886797808,10.085551725889161,183.56680803393422,0.049939098660170524
cluster_3,164.1119308035714,28.3984375,11.440848214285714,9.620535714285714,1.53125,0.12723214285714285,29.210822368303575,19.366110667410712,0.3785834414363839,180.6986468699777,1.4308035714285714,1.4330357142857142,3.386877575546875,11.582587675965401,12.776622971714287,223.33716426606028,0.16183035714285715
cluster_4,173.1810167029775,29.366013071895424,12.15831517792302,10.0159767610748,2.038489469862019,0.02251270878721859,30.09616131808279,19.936544564270154,0.4254238287559913,188.93435441931013,1.2309368191721133,1.2345679012345678,3.2348252358729126,10.90046223139361,11.875693864141612,210.08273602415395,0.0813362381989833
cluster_5,152.3311539044731,24.195602729340408,10.235784685367703,8.2289613343442,1.246398786959818,0.2714177407126611,25.766965510993174,16.50346815087187,0.3970543408908264,158.30268804636844,2.0060652009097804,2.0212282031842306,3.0601856634617137,10.097167819887035,10.787659196063684,194.44184107052314,0.4890068233510235
cluster_6,192.22705989110705,32.16152450090744,13.836660617059891,11.945553539019963,1.838475499092559,0.045372050816696916,33.71338461161525,20.57878961705989,0.4267591067059891,207.44164105865698,3.4627949183303084,3.4809437386569875,3.0727508426134302,10.177570002584392,10.930140329179673,196.0586041616697,0.007259528130671506
cluster_7,186.17895989974937,31.49749373433584,13.402255639097744,11.725563909774436,1.6253132832080202,0.03007518796992481,33.0458332330827,20.05140486215539,0.4386361642293233,202.89554321364662,2.818295739348371,2.8233082706766917,3.1788439734862157,10.64984289937218,11.561149812482455,205.20789502357144,0.021303258145363407
cluster_8,161.95478437917225,26.47463284379172,11.52136181575434,9.595460614152202,1.7817089452603472,0.08277703604806408,27.693245126835784,17.198000534045395,0.44411984408945265,171.78701919042726,2.4606141522029374,2.48064085447263,2.905080644763685,9.467428060409881,10.01859517211749,182.217124401502,0.06141522029372497
cluster_9,175.25729323308272,30.273182957393484,12.50125313283208,10.802005012531328,1.6140350877192982,0.05263157894736842,31.33638386716792,19.82689934085213,0.4626161456591479,192.6474588346366,1.8295739348370927,1.8345864661654134,3.1630246633308277,10.597568612573934,11.490087409443609,204.19084801639102,0.03258145363408521
cluster_10,177.61067326732672,31.55148514851485,12.397029702970297,10.65049504950495,1.4544554455445544,0.12475247524752475,32.34733205742574,21.31672140792079,0.35349584846336635,198.37120296840595,1.1316831683168316,1.1376237623762375,3.2301428934049503,10.886235538343563,11.87394923480792,209.80565291231684,0.16732673267326734
