CID,Count
4,0.0
101,0.0
107,0.0
135,0.0
180,0.0
196,0.0
205,0.0
243,0.0
284,0.0
311,0.0
325,0.0
335,0.0
342,0.0
356,0.0
453,0.0
525,0.0
594,0.0
611,0.0
674,0.0
757,0.0
857,0.0
875,0.0
880,0.0
985,0.0
996,0.0
1001,0.0
1017,0.0
1030,0.0
1110,0.0
1145,0.0
1146,0.0
1182,0.0
1491,0.0
2214,0.0
2266,0.0
2519,0.0
2682,0.0
2998,0.0
4093,0.0
4133,0.0
4837,0.0
4947,0.0
5054,0.0
5143,0.0
5144,0.0
5281,0.0
5429,0.0
5634,0.0
5810,0.0
5961,0.0
5971,0.0
5984,0.0
5988,0.0
6306,0.0
6507,0.0
6557,0.0
6919,0.0
6970,0.0
6997,0.0
7017,0.0
7055,0.0
7175,0.0
7184,0.0
7249,0.0
7393,0.0
7438,0.0
7465,0.0
7501,0.0
7790,0.0
7858,0.0
8030,0.0
8042,0.0
8047,0.0
8078,0.0
8090,0.0
8116,0.0
8122,0.0
8125,0.0
8141,0.0
8180,0.0
8181,0.0
8182,0.0
8183,0.0
8201,0.0
8209,0.0
8221,0.0
8222,0.0
8362,0.0
8363,0.0
8468,0.0
8791,0.0
8831,0.0
8907,0.0
9007,0.0
10329,0.0
10396,0.0
10465,0.0
10659,0.0
10742,0.0
11005,0.0
11006,0.0
11370,0.0
11450,0.0
11507,0.0
11511,0.0
11551,0.0
11635,0.0
12101,0.0
12366,0.0
12388,0.0
12389,0.0
12391,0.0
12393,0.0
12398,0.0
12530,0.0
12580,0.0
12588,0.0
13143,0.0
13849,0.0
14257,0.0
14860,0.0
14878,0.0
14928,0.0
15076,0.0
15600,0.0
15608,0.0
15979,0.0
17739,0.0
20263,0.0
21813,0.0
23518,0.0
26397,0.0
29008,0.0
31271,0.0
31283,0.0
31285,0.0
37098,0.0
38762,0.0
41923,0.0
41971,0.0
61586,0.0
61696,0.0
61982,0.0
62362,0.0
62453,0.0
66751,0.0
66967,0.0
68289,0.0
69600,0.0
69702,0.0
69968,0.0
70153,0.0
73114,0.0
73955,0.0
75232,0.0
76674,0.0
77845,0.0
82650,0.0
84338,0.0
90927,0.0
91361,0.0
92083,0.0
92972,0.0
94206,0.0
94378,0.0
94454,0.0
95950,0.0
97747,0.0
103034,0.0
109457,0.0
111470,0.0
121731,0.0
125468,0.0
152802,0.0
170623,0.0
175606,0.0
228588,0.0
330573,0.0
444212,0.0
444539,0.0
444972,0.0
447466,0.0
535665,0.0
637517,0.0
638024,0.0
638228,0.0
641298,0.0
643460,0.0
734154,0.0
3019031,0.0
3022477,0.0
3032731,0.0
3084526,0.0
5270647,0.0
5273464,0.0
5280450,0.0
5280802,0.0
5282184,0.0
5282735,0.0
5282822,0.0
5283358,0.0
5283468,0.0
5284421,0.0
5284499,0.0
5312542,0.0
5318516,0.0
5319706,0.0
5326159,0.0
5354342,0.0
5356796,0.0
5357253,0.0
5363230,0.0
5364430,0.0
5364452,0.0
5364759,0.0
5369459,0.0
5705112,0.0
5916286,0.0
6371716,0.0
6427130,0.0
6429195,0.0
6436850,0.0
6437405,0.0
6442642,0.0
6504553,0.0
10199004,0.0
11107909,0.0
12762300,0.0
12980878,0.0
16205867,0.0
53428368,0.0
53436656,0.0
54134573,0.0
54238690,0.0
54343029,0.0
54506697,0.0
54675810,0.0
54676860,0.0
67120007,0.0
67253117,0.0
85686435,0.0
